Action,Date,Price,Balance/Qty
Sell,2023-03-03 21:00:00,22231.0,100.78975732869779
Buy,2023-03-04 00:45:00,22356.5,0.004508297690993572
Sell,2023-03-04 19:45:00,22238.7,100.25867986069875
Buy,2023-03-05 00:00:00,22329.9,0.004489884856658505
Sell,2023-03-07 15:00:00,22023.7,98.88387711758992
Buy,2023-03-08 00:30:00,22216.0,0.0044510207561032555
Sell,2023-03-08 03:15:00,22097.1,98.35465074968924
Buy,2023-03-08 11:00:00,22060.8,0.004458344699634158
Sell,2023-03-08 18:15:00,21961.0,97.90970794866575
Buy,2023-03-09 04:45:00,21729.8,0.004505780446606308
Sell,2023-03-09 09:30:00,21604.0,97.34288076848269
Buy,2023-03-09 14:15:00,21742.6,0.004477057976897091
Sell,2023-03-09 15:45:00,21637.4,96.87189426931313
Buy,2023-03-10 13:45:00,20173.0,0.004802056921098158
Sell,2023-03-10 14:00:00,19913.5,95.62576049828816
Buy,2023-03-10 20:15:00,20001.9,0.004780833845699066
Sell,2023-03-10 21:15:00,19910.7,95.1897484515604
Buy,2023-03-10 21:45:00,20069.2,0.00474307637830907
Sell,2023-03-11 07:30:00,19920.3,94.48350437883018
Buy,2023-03-11 13:15:00,20100.4,0.004700578315796212
Sell,2023-03-12 22:15:00,21797.2,102.45944566507319
Buy,2023-03-13 13:45:00,22467.2,0.004560401192185639
Sell,2023-03-13 15:00:00,24020.1,109.54129267641827
Buy,2023-03-14 02:15:00,24289.1,0.004509895083655561
Sell,2023-03-14 08:00:00,24164.1,108.97755579096133
Buy,2023-03-14 11:15:00,24633.2,0.0044240113258107484
Sell,2023-03-14 13:00:00,26283.4,116.27805928081423
Buy,2023-03-15 01:15:00,24944.9,0.004661396088210986
Sell,2023-03-15 03:15:00,24694.8,115.11224411915266
Buy,2023-03-15 08:30:00,24802.2,0.004641211026407039
Sell,2023-03-15 09:15:00,24680.1,114.54555225282836
Buy,2023-03-15 13:30:00,24956.0,0.004589900314666948
Sell,2023-03-15 13:45:00,24800.0,113.8295278037403
Buy,2023-03-15 21:15:00,24318.0,0.004680875392867025
Sell,2023-03-16 00:30:00,24188.6,113.22382252790331
Buy,2023-03-16 04:30:00,24212.6,0.004676235618145235
Sell,2023-03-17 02:00:00,25780.7,120.55662760071685
Buy,2023-03-17 18:45:00,26605.8,0.004531216035628204
Sell,2023-03-19 18:45:00,28307.0,128.26513232052756
Buy,2023-03-19 23:30:00,28108.3,0.00456324759307847
Sell,2023-03-19 23:45:00,27955.7,127.5687807378238
Buy,2023-03-20 07:15:00,27836.9,0.004582722240544881
Sell,2023-03-20 15:45:00,27679.7,126.84837680161014
Buy,2023-03-20 20:15:00,27895.3,0.004547302836019335
Sell,2023-03-20 23:30:00,27619.3,125.59332121886881
Buy,2023-03-21 04:45:00,27894.7,0.0045024080280077865
Sell,2023-03-21 06:00:00,27697.7,124.70634683735128
Buy,2023-03-21 10:30:00,28027.7,0.004449396377060953
Sell,2023-03-21 11:00:00,27897.9,124.12881518760878
Buy,2023-03-21 16:45:00,28334.9,0.004380774775545662
Sell,2023-03-21 17:00:00,28207.3,123.56982832624915
Buy,2023-03-22 01:45:00,28077.1,0.004401089440371305
Sell,2023-03-22 19:00:00,27398.5,120.5832490320132
Buy,2023-03-23 01:00:00,27240.4,0.004426632833292213
Sell,2023-03-27 14:45:00,26933.0,119.22250209905917
Buy,2023-03-27 20:45:00,27032.7,0.004410306854256481
Sell,2023-03-28 01:00:00,26885.1,118.57154080737091
Buy,2023-03-28 07:30:00,27031.4,0.00438643728432012
Sell,2023-03-28 09:45:00,26865.1,117.84207628698846
Buy,2023-03-28 13:45:00,26871.2,0.004385441524270909
Sell,2023-03-29 08:45:00,28498.1,124.97675110282479
Buy,2023-03-29 14:00:00,28442.1,0.004394076073947591
Sell,2023-03-29 14:45:00,28282.0,124.27325952338578
Buy,2023-03-29 15:00:00,28322.5,0.004387792727456466
Sell,2023-03-29 16:45:00,28137.7,123.46239542735182
Buy,2023-03-29 20:30:00,28368.2,0.0043521406161600605
Sell,2023-03-30 16:00:00,28169.9,122.5993659431673
Buy,2023-03-30 22:00:00,28080.9,0.004365934351932
Sell,2023-03-30 22:45:00,27888.1,121.75761380011481
Buy,2023-03-31 12:00:00,27879.4,0.0043672967782705085
Sell,2023-04-03 01:30:00,27701.9,120.9824186219718
Buy,2023-04-03 07:30:00,27862.0,0.004342201515396303
Sell,2023-04-03 20:00:00,27698.5,120.2724686742045
Buy,2023-04-04 01:15:00,27865.0,0.0043162558289684015
Sell,2023-04-10 22:15:00,29551.7,127.55269738092551
Buy,2023-04-11 08:45:00,30091.1,0.004238884500098883
Sell,2023-04-12 02:15:00,29924.0,126.84437978095899
Buy,2023-04-12 08:15:00,29972.5,0.004232025349268796
Sell,2023-04-12 15:00:00,29787.9,126.06314790148396
Buy,2023-04-13 00:00:00,29907.0,0.004215171963135185
Sell,2023-04-17 11:15:00,29755.0,125.42244176308742
Buy,2023-04-17 18:30:00,29519.8,0.004248756487614666
Sell,2023-04-18 00:15:00,29386.4,124.85565764763962
Buy,2023-04-18 04:15:00,29445.0,0.004240300820093042
Sell,2023-04-19 08:15:00,29260.6,124.07374617641446
Buy,2023-04-19 14:15:00,29383.7,0.004222536514340075
Sell,2023-04-19 15:30:00,29220.2,123.38336145631985
Buy,2023-04-20 05:45:00,28884.6,0.004271596679764299
Sell,2023-04-20 11:15:00,28745.0,122.78704655982476
Buy,2023-04-20 15:15:00,28685.8,0.0042804121397982545
Sell,2023-04-20 15:30:00,28545.1,122.18479257175515
Buy,2023-04-21 00:15:00,28135.0,0.0043428040722145065
Sell,2023-04-21 06:45:00,27906.5,121.19246184125413
Buy,2023-04-21 12:15:00,28167.0,0.004302640034126962
Sell,2023-04-21 15:45:00,28032.8,120.61504754867428
Buy,2023-04-22 04:00:00,27307.1,0.0044169848701866654
Sell,2023-04-24 08:45:00,27173.9,120.02670516396543
Buy,2023-04-24 12:45:00,27431.4,0.004375522400022071
Sell,2023-04-24 15:15:00,27232.9,119.15816396756105
Buy,2023-04-24 20:00:00,27426.9,0.004344572808722861
Sell,2023-04-25 07:30:00,27252.7,118.40133938428151
Buy,2023-04-25 12:15:00,27399.6,0.004321279850227066
Sell,2023-04-25 14:30:00,27253.2,117.76870401420827
Buy,2023-04-25 17:30:00,27545.9,0.004275362359342344
Sell,2023-04-26 12:15:00,29738.5,127.14286352330228
Buy,2023-04-27 00:45:00,29215.1,0.004351957156515031
Sell,2023-04-27 01:00:00,29046.0,126.40694756813559
Buy,2023-04-27 11:00:00,29077.6,0.0043472276793179495
Sell,2023-04-27 11:30:00,28926.7,125.75095091132653
Buy,2023-04-27 15:30:00,28952.0,0.004343428810145293
Sell,2023-05-01 01:30:00,28664.9,124.5039524999338
Buy,2023-05-01 07:45:00,28610.0,0.004351763456830961
Sell,2023-05-01 13:45:00,28445.4,123.78765223493942
Buy,2023-05-02 00:00:00,27987.4,0.004422977919883212
Sell,2023-05-06 00:30:00,29686.2,131.301407125237
