{'timestamp': Timestamp('2024-05-29 19:47:06.186000'), 'Close': 67411.8, 'ma1': 67418.57583333334, 'ma2': 67425.18307692307, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -6.607243589736754}
{'timestamp': Timestamp('2024-05-29 19:47:08.377000'), 'Close': 67400.5, 'ma1': 67415.07666666668, 'ma2': 67424.91692307692, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -9.840256410243455}
{'timestamp': Timestamp('2024-05-29 19:47:10.419000'), 'Close': 67390.41, 'ma1': 67411.77583333333, 'ma2': 67424.26269230769, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -12.486858974356437}
{'timestamp': Timestamp('2024-05-29 19:47:12.701000'), 'Close': 67390.41, 'ma1': 67409.36916666666, 'ma2': 67423.38615384615, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -14.016987179493299}
{'timestamp': Timestamp('2024-05-29 19:47:15.377000'), 'Close': 67390.41, 'ma1': 67406.96333333333, 'ma2': 67422.32384615384, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -15.36051282050903}
{'timestamp': Timestamp('2024-05-29 19:47:17.450000'), 'Close': 67390.41, 'ma1': 67404.55666666667, 'ma2': 67421.02384615385, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -16.467179487182875}
{'timestamp': Timestamp('2024-05-29 19:47:19.504000'), 'Close': 67384.0, 'ma1': 67401.61666666667, 'ma2': 67419.22346153847, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -17.60679487179732}
{'timestamp': Timestamp('2024-05-29 19:47:22.282000'), 'Close': 67380.01, 'ma1': 67398.78416666666, 'ma2': 67417.14730769231, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -18.363141025649384}
{'timestamp': Timestamp('2024-05-29 19:47:24.406000'), 'Close': 67380.01, 'ma1': 67396.13, 'ma2': 67414.76692307692, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -18.63692307691963}
{'timestamp': Timestamp('2024-05-29 19:47:27.309000'), 'Close': 67380.0, 'ma1': 67393.47416666667, 'ma2': 67412.36384615385, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -18.889679487183457}
{'timestamp': Timestamp('2024-05-29 19:47:29.325000'), 'Close': 67380.0, 'ma1': 67390.81833333334, 'ma2': 67409.96115384615, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -19.142820512803155}
{'timestamp': Timestamp('2024-05-29 19:47:31.378000'), 'Close': 67380.0, 'ma1': 67388.16333333334, 'ma2': 67407.55807692307, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -19.394743589728023}
{'timestamp': Timestamp('2024-05-29 19:47:34.196000'), 'Close': 67380.01, 'ma1': 67385.51416666666, 'ma2': 67405.15538461538, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -19.64121794872335}
