open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-17 12:00:00,0.683,0.6868,0.6761,0.6818,21120852.0,2024-04-17 12:59:59.999,14392804.88650,31669,10498809,7154913.94260,0
2024-04-17 13:00:00,0.6819,0.6893,0.6808,0.6848,20557273.0,2024-04-17 13:59:59.999,14080210.55330,29038,10087625,6908522.53930,0
2024-04-17 14:00:00,0.6848,0.685,0.6605,0.672,58667599.0,2024-04-17 14:59:59.999,39303641.93310,76630,27526647,18439740.76720,0
2024-04-17 15:00:00,0.672,0.6742,0.6577,0.662,50435495.0,2024-04-17 15:59:59.999,33505566.43100,61920,25019531,16619599.66740,0
2024-04-17 16:00:00,0.6621,0.6736,0.6548,0.6585,53681168.0,2024-04-17 16:59:59.999,35663180.34160,62012,26070718,17309542.34770,0
2024-04-17 17:00:00,0.6585,0.6746,0.6579,0.6728,29872420.0,2024-04-17 17:59:59.999,19892195.04000,35328,15668489,10435307.35250,0
2024-04-17 18:00:00,0.6728,0.6909,0.6718,0.6838,38425694.0,2024-04-17 18:59:59.999,26302211.81170,53165,19269292,13189872.31530,0
2024-04-17 19:00:00,0.6839,0.684,0.6701,0.6758,21683518.0,2024-04-17 19:59:59.999,14668520.33230,34145,11120576,7524076.92830,0
2024-04-17 20:00:00,0.6757,0.6793,0.6665,0.667,15122517.0,2024-04-17 20:59:59.999,10188218.00090,25935,7616907,5129625.84880,0
2024-04-17 21:00:00,0.6669,0.6823,0.6669,0.6779,16087138.0,2024-04-17 21:59:59.999,10878275.62160,29518,8369548,5656096.55180,0
2024-04-17 22:00:00,0.6779,0.6788,0.6721,0.6743,12715251.0,2024-04-17 22:59:59.999,8587336.98240,21369,6266490,4231803.23840,0
2024-04-17 23:00:00,0.6743,0.6773,0.6661,0.6674,13698719.0,2024-04-17 23:59:59.999,9176618.89000,24701,6715360,4497983.55790,0
2024-04-18 00:00:00,0.6674,0.6718,0.6532,0.6659,31371154.0,2024-04-18 00:59:59.999,20767710.29790,50103,15560466,10303410.55180,0
2024-04-18 01:00:00,0.6659,0.6743,0.6656,0.6728,21257992.0,2024-04-18 01:59:59.999,14243148.97310,40575,11139386,7462910.14280,0
2024-04-18 02:00:00,0.6728,0.6755,0.6666,0.6738,15401507.0,2024-04-18 02:59:59.999,10337896.22960,29648,7855395,5273106.98160,0
2024-04-18 03:00:00,0.6738,0.6803,0.6734,0.675,14981935.0,2024-04-18 03:59:59.999,10143072.28590,26327,7300762,4941673.58940,0
2024-04-18 04:00:00,0.675,0.6792,0.672,0.6725,11436606.0,2024-04-18 04:59:59.999,7728028.56220,20108,6060022,4095275.70290,0
2024-04-18 05:00:00,0.6726,0.6788,0.6692,0.6699,11997537.0,2024-04-18 05:59:59.999,8083367.53380,22400,5828260,3926889.79920,0
2024-04-18 06:00:00,0.67,0.6725,0.6564,0.661,19845449.0,2024-04-18 06:59:59.999,13163186.96880,31899,10473766,6947404.93080,0
2024-04-18 07:00:00,0.661,0.6655,0.6526,0.6563,24380006.0,2024-04-18 07:59:59.999,16046316.38380,36825,11834958,7792101.52050,0
2024-04-18 08:00:00,0.6564,0.6631,0.6493,0.6603,25945314.0,2024-04-18 08:59:59.999,17028125.31210,38992,12209533,8016148.77020,0
2024-04-18 09:00:00,0.6604,0.6658,0.6592,0.6652,13871104.0,2024-04-18 09:59:59.999,9186827.34440,24449,7106065,4705686.85890,0
2024-04-18 10:00:00,0.6653,0.671,0.6636,0.6694,13611843.0,2024-04-18 10:59:59.999,9079672.60290,27275,6587595,4393672.60150,0
2024-04-18 11:00:00,0.6695,0.6856,0.6694,0.6793,29604472.0,2024-04-18 11:59:59.999,20136509.23020,39828,14152794,9627160.42580,0
2024-04-18 12:00:00,0.6793,0.6807,0.6647,0.6711,27429906.0,2024-04-18 12:59:59.999,18434887.15490,38310,13859745,9313340.56880,0
2024-04-18 13:00:00,0.6711,0.6762,0.6668,0.675,26655468.0,2024-04-18 13:59:59.999,17902749.23340,35575,12825229,8612086.76270,0
2024-04-18 14:00:00,0.675,0.6889,0.6705,0.6864,35144450.0,2024-04-18 14:59:59.999,24001522.36310,47175,16824259,11489075.49780,0
2024-04-18 15:00:00,0.6863,0.6909,0.6819,0.6853,18416803.0,2024-04-18 15:59:59.999,12633201.01130,30455,8921570,6119182.97280,0
2024-04-18 16:00:00,0.6853,0.6866,0.6773,0.679,19103265.0,2024-04-18 16:59:59.999,13032545.38140,29353,9444820,6442949.62890,0
2024-04-18 17:00:00,0.6791,0.6796,0.666,0.6664,21123443.0,2024-04-18 17:59:59.999,14199308.29600,33482,10006187,6728205.82390,0
2024-04-18 18:00:00,0.6665,0.6709,0.6611,0.6698,19797030.0,2024-04-18 18:59:59.999,13201564.82460,30633,10383589,6925291.18550,0
2024-04-18 19:00:00,0.6699,0.6754,0.6685,0.6741,13318067.0,2024-04-18 19:59:59.999,8956293.92940,24917,6916087,4650873.54330,0
2024-04-18 20:00:00,0.6741,0.6752,0.6693,0.6747,12803783.0,2024-04-18 20:59:59.999,8606836.72320,19700,6985500,4695463.96310,0
2024-04-18 21:00:00,0.6748,0.6798,0.6744,0.6775,10326252.0,2024-04-18 21:59:59.999,6996646.03640,15737,5051988,3423057.25500,0
2024-04-18 22:00:00,0.6774,0.682,0.6745,0.6779,12190878.0,2024-04-18 22:59:59.999,8264415.49100,19055,5978234,4053419.49520,0
2024-04-18 23:00:00,0.6779,0.68,0.6744,0.6754,6814070.0,2024-04-18 23:59:59.999,4614717.64390,13741,3277542,2219948.42830,0
2024-04-19 00:00:00,0.6753,0.6754,0.6648,0.6651,16262654.0,2024-04-19 00:59:59.999,10894826.59160,25444,8451760,5662871.06580,0
2024-04-19 01:00:00,0.6652,0.6658,0.6334,0.6364,63367062.0,2024-04-19 01:59:59.999,40962755.94950,80315,28216340,18232535.07750,0
2024-04-19 02:00:00,0.6364,0.64,0.6186,0.6364,78057391.0,2024-04-19 02:59:59.999,49027878.52550,102549,38845252,24399662.64350,0
2024-04-19 03:00:00,0.6363,0.6534,0.6349,0.6483,46123457.0,2024-04-19 03:59:59.999,29736302.51800,72725,22597821,14572222.07760,0
2024-04-19 04:00:00,0.6483,0.6588,0.6475,0.6527,22717809.0,2024-04-19 04:59:59.999,14849271.63920,36777,11489541,7509495.19120,0
2024-04-19 05:00:00,0.6526,0.655,0.6452,0.6495,19335617.0,2024-04-19 05:59:59.999,12565436.23870,33063,10013178,6507262.45560,0
2024-04-19 06:00:00,0.6495,0.6782,0.6458,0.677,40825142.0,2024-04-19 06:59:59.999,27120877.20130,59761,20491326,13609769.30970,0
2024-04-19 07:00:00,0.6769,0.6841,0.6669,0.6701,34944414.0,2024-04-19 07:59:59.999,23567492.83080,51654,17578441,11858199.93860,0
2024-04-19 08:00:00,0.6699,0.6769,0.6662,0.6757,31631756.0,2024-04-19 08:59:59.999,21243995.03300,41116,16576945,11133850.03840,0
2024-04-19 09:00:00,0.6758,0.6773,0.6722,0.676,13902237.0,2024-04-19 09:59:59.999,9381728.19600,26563,6989429,4716329.42260,0
2024-04-19 10:00:00,0.676,0.681,0.6723,0.6793,14800877.0,2024-04-19 10:59:59.999,10009971.76870,25431,7645948,5170503.70020,0
2024-04-19 11:00:00,0.6793,0.6844,0.6775,0.6795,15420347.0,2024-04-19 11:59:59.999,10499010.39690,26430,6826558,4647305.96690,0
2024-04-19 12:00:00,0.6794,0.6835,0.676,0.6791,17440391.0,2024-04-19 12:59:59.999,11855305.97990,29222,8537367,5803800.55540,0
2024-04-19 13:00:00,0.6791,0.6904,0.6743,0.687,34152449.0,2024-04-19 13:59:59.999,23328004.92870,45155,17942019,12249466.01570,0
2024-04-19 14:00:00,0.6869,0.6894,0.6758,0.6815,27487931.0,2024-04-19 14:59:59.999,18751896.29830,38584,13670195,9325355.10350,0
