entry price,close price,profit,entry price difference,open_time,close_time
2103.3,2105.7,2.4,1.3,,
2104.0,2106.6,2.6,1.7,,
2119.3,2121.8,2.4,6.0,,
2122.7,2125.5,2.8,3.7,,
2124.0,2126.4,2.5,1.6,,
2127.0,2129.5,2.5,1.4,,
2144.9,2147.7,2.8,16.0,,
2149.8,2152.3,2.5,2.0,,
2155.6,2158.1,2.4,1.6,,
2176.8,2179.8,3.0,8.4,,
