open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,sma_50,ema_50,rsi,macd,macd_signal,macd_hist,doji,hammer,close_lag_1
2024-04-19 23:00:00,-1.2626128210575733,-1.4289210237381922,-1.628503379918953,-1.4143630858483491,1.6980067149541727,2024-04-19 23:59:59.999,20609126.4627,47736,14041760,9386176.6347,0,-2.0215785282221095,-2.1743690312871427,-0.16963405724729036,0.18717311824498947,0.2643624048505573,-0.1659414706401123,0,100,-1.261520931494887
2024-04-20 00:00:00,-1.419347062482764,-1.4289210237381922,-1.4571917364038802,-1.6321631558020337,0.653757704837991,2024-04-20 00:59:59.999,13764641.7065,39878,10306270,6915677.2479,0,-2.0291020709766174,-2.1865986575517344,-0.4910331554625855,0.05320698737210547,0.22092459435915116,-0.4452901837368003,0,0,-1.4143630858483491
2024-04-20 01:00:00,-1.6372458859275427,-1.3002048613788797,-1.554020056651529,-1.2309525006241937,0.30448794980015764,2024-04-20 01:59:59.999,11461363.4401,32335,8687841,5841403.1929,0,-2.019400660582651,-2.175567183507512,0.1271722555619967,0.08821688331384192,0.1937908849986052,-0.2671813724109156,0,0,-1.6321631558020337
2024-04-20 02:00:00,-1.2358533164240029,-1.2924038818419525,-1.1071201170469849,-1.2538788237772147,-0.2740228372679717,2024-04-20 02:59:59.999,7682621.769,21645,5649942,3829168.3335,0,-2.008808304336179,-2.166270116695521,0.09100658834774014,0.10562281000471861,0.175870644561854,-0.1665318496292519,100,0,-1.2309525006241937
2024-04-20 03:00:00,-1.2587900346813496,-1.3353092692950566,-1.1592584433341842,-1.1621735311651349,-0.6739495504496905,2024-04-20 03:59:59.999,4991687.7912,14472,3854587,2606539.3763,0,-2.0026706773522394,-2.1521304391110267,0.22851484675704556,0.14946880335421694,0.17107331860395622,-0.023174869676779005,0,100,-1.2538788237772147
2024-04-20 04:00:00,-1.1593975888995196,-1.1831901683249582,-1.047533458433048,-1.0933945617060805,-0.5686698483575705,2024-04-20 04:59:59.999,5730365.117,16191,3520372,2394814.2385,0,-1.995741098499404,-2.1346398574658014,0.3330043069856457,0.20544413752459925,0.17941310950160985,0.12033725948701109,0,0,-1.1621735311651349
2024-04-20 05:00:00,-1.1020557932561592,-1.198792127398817,-0.9544293043487659,-1.1010366694237528,-0.7553696972948354,2024-04-20 05:59:59.999,4479104.4144,12226,3307580,2252414.2199,0,-1.9901974354171368,-2.1182691144521204,0.3182342485231425,0.24333081535250134,0.19432733634084615,0.19215753104292516,100,0,-1.0933945617060805
2024-04-20 06:00:00,-1.105878579632383,-1.0427725366602547,-0.9395326396952828,-0.959657676646799,-0.555819609876369,2024-04-20 06:59:59.999,5841972.6193,15518,4465002,3050452.3484,0,-1.97851614535093,-2.094512592184233,0.5465553420209114,0.3191736328863823,0.22275861775620856,0.33982016536160126,0,0,-1.1010366694237528
2024-04-20 07:00:00,-0.9567899109596398,-1.015469108281005,-0.7980143254871763,-0.9023418687642528,-0.7019279391715154,2024-04-20 07:59:59.999,4869626.5865,13285,3561403,2440843.7962,0,-1.9627761019566334,-2.068433197223149,0.637982164500212,0.3942406749421849,0.26183476985984905,0.4561065677697866,0,0,-0.959657676646799
2024-04-20 08:00:00,-0.8994481153162794,-1.0778769445764274,-0.8911184795714584,-1.059005076976551,-0.62337766374724,2024-04-20 08:59:59.999,5385081.8472,15119,3565098,2435751.1857,0,-1.942284347348971,-2.052272159747384,0.29401918538466326,0.39237379515335247,0.29268954458350055,0.3662948240337435,0,0,-0.9023418687642528
